StudyHours,Attendance,PreviousScore,SleepHours,FinalScore
4.0,85.0,53.3,7.1,57.8
8.6,78.1,69.4,6.9,73.5
6.9,68.3,84.3,5.1,73.7
5.8,90.0,78.0,6.4,76.3
2.2,84.4,81.3,6.5,70.1
2.2,62.0,74.6,6.6,58.0
1.5,94.2,76.2,7.3,70.8
7.9,90.4,83.2,7.1,82.6
5.8,95.8,56.2,7.4,68.0
6.7,86.2,67.0,8.1,71.7
1.2,81.4,55.0,8.3,49.2
8.8,73.0,89.4,7.9,87.3
7.7,95.1,87.5,8.8,89.6
2.7,92.2,46.8,5.1,52.7
2.5,56.9,76.8,5.8,59.7
2.5,56.1,86.6,5.0,64.1
3.4,71.2,53.1,7.6,52.3
,89.9,70.6,8.6,72.0
4.5,97.5,86.2,6.0,79.3
3.3,61.5,46.5,8.7,49.0
5.9,80.5,76.4,5.2,72.0
2.1,71.4,58.4,8.7,53.7
3.3,96.7,86.6,6.4,76.4
3.9,91.2,88.7,5.4,74.9
4.6,91.0,87.5,6.9,73.8
7.3,75.2,66.3,6.0,72.6
2.6,72.8,83.8,6.1,64.9
5.1,66.8,83.0,6.2,68.7
5.7,57.4,59.4,8.2,62.2
1.4,92.2,82.3,7.2,71.9
5.9,90.0,46.7,6.2,58.7
2.4,98.0,71.8,7.4,68.2
1.5,97.9,55.4,7.9,60.3
8.6,78.9,50.4,6.1,68.0
8.7,88.1,48.5,6.7,68.8
7.5,95.6,76.3,5.5,77.5
3.4,91.5,60.3,5.7,59.5
1.8,65.6,77.6,7.7,62.8
6.5,74.4,47.9,5.7,56.4
4.5,60.6,59.2,7.1,51.1
2.0,96.0,69.3,7.8,67.2
5.0,81.1,80.6,5.4,73.9
1.3,64.8,59.3,7.3,46.7
8.3,83.9,73.2,6.0,74.3
3.1,81.6,84.9,8.9,75.2
6.3,70.4,72.7,6.9,75.5
3.5,59.9,55.5,8.2,55.7
5.2,83.9,46.1,7.2,57.5
5.4,77.4,84.2,5.2,72.6
2.5,88.2,46.0,7.5,58.0
8.8,77.4,84.4,8.8,83.3
7.2,91.6,68.8,7.4,73.8
8.5,78.7,87.3,8.3,84.1
8.2,79.1,80.9,8.5,79.7
5.8,92.7,89.9,5.9,81.0
8.4,72.3,60.8,5.8,72.8
1.7,60.8,79.5,7.4,62.6
2.6,56.2,63.1,6.6,53.8
1.4,87.5,66.6,8.4,61.7
3.6,81.7,73.2,8.6,65.2
4.1,85.3,84.3,6.4,75.6
3.2,64.2,89.3,5.9,68.2
7.6,60.9,79.6,8.1,75.2
3.9,55.6,63.8,6.1,64.8
3.2,70.1,64.0,8.3,62.0
5.3,80.4,78.2,6.7,70.7
2.1,71.9,55.7,7.7,53.7
7.4,73.8,50.0,5.4,64.4
1.6,93.9,61.0,7.5,60.9
8.9,70.0,57.9,6.8,65.6
7.2,77.1,58.3,7.3,70.1
2.6,88.7,55.5,5.7,55.4
1.0,72.1,46.9,7.9,53.3
7.5,81.7,45.8,8.5,68.0
6.7,92.1,89.4,5.9,81.2
6.8,95.8,64.2,5.4,74.6
7.2,61.3,62.3,5.1,63.7
1.6,94.8,75.6,7.6,69.6
3.9,76.2,54.8,7.4,60.1
1.9,66.1,87.7,7.2,64.7
7.9,74.7,80.4,5.9,75.5
6.0,97.1,49.0,6.6,67.1
3.6,76.2,63.8,7.4,61.4
1.5,69.1,84.6,7.0,64.0
3.5,82.2,87.5,9.0,73.6
3.6,65.3,66.0,5.5,59.6
6.8,,72.6,7.8,75.0
6.1,60.5,52.5,6.6,55.6
8.1,60.5,89.6,6.7,79.6
4.8,61.5,55.4,7.9,62.0
2.0,61.0,87.4,7.8,66.3
6.7,82.6,74.2,9.0,78.2
7.1,62.8,72.3,5.5,65.9
5.5,69.9,68.1,5.4,65.7
7.2,93.6,55.4,7.9,70.4
5.0,75.4,52.9,7.3,62.6
5.2,83.7,54.9,6.1,64.8
4.4,62.4,53.4,5.3,60.3
1.2,63.3,80.1,5.3,60.4
1.9,56.8,60.8,8.6,55.2
1.3,62.3,47.6,5.8,45.4
6.1,67.0,88.6,6.3,74.7
3.5,62.6,84.8,5.9,67.6
5.1,58.8,86.7,6.4,70.1
8.3,60.2,89.8,5.3,78.7
3.0,74.8,52.8,7.1,58.6
4.3,63.9,62.8,5.3,55.6
7.0,70.7,79.1,8.2,79.2
2.8,76.6,76.3,5.9,67.7
1.6,84.7,51.9,7.2,53.9
3.3,56.7,81.7,8.5,61.4
2.3,89.4,55.1,7.6,57.1
8.4,82.0,55.1,7.1,73.1
7.5,58.5,69.2,6.3,68.0
6.1,92.6,71.7,6.3,71.1
8.0,94.6,71.1,7.7,78.4
7.4,57.6,49.1,9.0,63.9
2.5,66.9,84.5,7.6,68.7
8.1,89.7,57.0,7.2,71.2
5.3,87.2,50.8,7.9,62.3
7.5,62.9,85.0,6.9,75.9
8.2,64.0,88.0,5.2,75.7
3.5,70.9,83.8,7.2,73.7
1.9,75.8,81.4,8.8,67.2
2.8,81.6,74.5,5.7,67.5
4.4,70.9,69.8,7.8,69.9
7.5,74.9,48.9,5.8,64.4
7.9,87.1,63.4,7.1,72.5
1.1,56.6,61.8,5.4,50.2
5.1,65.9,56.7,6.8,59.3
4.3,85.7,77.6,8.0,70.6
2.8,93.5,67.3,6.4,65.5
2.0,77.0,48.6,7.7,49.5
3.7,77.9,54.9,8.2,62.8
8.5,59.6,75.7,8.7,75.2
3.6,74.2,48.4,5.9,53.6
5.2,77.9,83.3,6.6,74.7
6.6,65.4,67.3,5.6,65.3
3.9,66.6,66.6,9.0,65.5
8.8,71.2,71.7,8.7,76.5
8.7,55.9,82.1,7.2,79.2
3.0,68.8,60.7,8.4,55.8
5.0,64.1,75.5,7.1,67.9
3.4,69.1,,7.5,68.3
3.3,60.1,57.0,5.4,50.1
1.3,93.3,84.5,8.0,69.3
5.9,80.5,80.9,5.5,75.0
5.0,84.2,74.6,8.3,73.5
1.4,88.9,83.3,8.1,70.7
3.2,76.4,84.0,7.8,72.2
8.3,58.7,76.9,5.1,73.5
2.9,78.1,82.7,6.2,71.0
2.2,80.2,76.4,6.1,65.2
4.9,87.1,75.6,6.4,71.0
8.9,73.6,72.8,5.4,76.7
2.9,60.5,78.9,8.7,70.4
6.4,67.2,52.1,7.2,60.6
7.1,70.6,84.6,6.2,74.2
2.9,82.8,84.2,6.6,73.2
6.8,79.5,46.3,6.8,61.1
3.9,70.3,82.2,7.4,64.5
